Weight,Activity,Age,Height,Income,Sex
94.8,,62,184.5,4.39,Male
90.4,,53,171.4,1.32,Male
83.4,,78,170.1,1.51,Male
109.8,,56,160.9,5,Female
55.2,,42,164.9,1.23,Female
64.4,,72,150,2.82,Female
37.2,5,11,143.5,1.18,Female
16.4,7,4,102.1,4.22,Male
10.1,,1,,,Male
76.6,,22,165.4,2.08,Male
64.5,,32,151.3,1.03,Female
72.4,,18,166.1,5,Male
108.3,,56,179.4,1.19,Male
71.7,7,15,169.2,0.86,Female
17.7,3,4,105,,Female
86.2,,46,176.7,0.75,Male
17.3,7,3,103.6,0.94,Male
75.9,,17,161.7,3.16,Female
76.2,,45,177.8,1.36,Male
51.7,,16,152.6,0.58,Female
71.2,,30,163.6,5,Female
71.2,7,15,170.5,2.49,Male
117.8,,67,164.1,0.89,Female
97.4,,67,183.8,2.04,Male
60,,16,163.9,1.11,Male
80.5,,57,150.8,0.77,Female
,,80,,4.71,Male
100.8,,19,175.4,1.74,Female
14.6,7,3,94.7,1.1,Female
61.8,,24,156.4,0,Female
107.9,,27,168.5,2.12,Female
12.1,7,2,89.8,1.94,Female
54.8,1,14,170.8,5,Male
5.2,,0,,3.17,Female
51,3,10,160,3.34,Female
59,,54,149.9,2.99,Female
52.4,4,15,158,1.09,Female
72.8,,49,170.7,2.97,Male
48,7,15,162,0.66,Male
,7,2,,,Female
15.2,7,2,93.8,1.25,Female
67.7,,80,149.8,3.57,Female
55.9,4,13,169.7,4.3,Female
77.7,,69,160.2,0.55,Female
56.6,,58,157.5,3.72,Female
69,,56,166.1,1.35,Male
99.9,,16,170.2,0.99,Male
11.8,,1,,,Female
18.2,2,4,103.9,2.82,Male
87.8,,27,160.7,,Female
,,0,,0.98,Female
96.4,,17,171.1,4.28,Male
73.7,,22,170.7,,Male
75.6,,60,145.2,5,Female
102.1,,51,182.2,,Male
77.4,,68,152,1.49,Female
84,,69,164.6,1.79,Female
102.9,,66,173.9,5,Male
85.6,,56,187.4,1,Male
78.6,,80,167.6,,Female
17.4,7,3,103.8,2.51,Female
56.3,5,11,157.7,1.23,Female
,2,10,,4.23,Female
23,7,5,120.2,2.3,Male
20.3,7,4,102.6,1.32,Female
9.8,,1,,4.22,Female
8.2,,0,,5,Female
66.6,,37,161.6,4.18,Female
34.7,4,10,141.8,2.57,Male
58.5,,80,157.1,,Female
68.4,,29,169.8,,Female
79.1,,27,166.3,2.36,Male
